Jour	Annee	Mois	JourJ	Tmin	Tmax	ETP	RAD	Pluie
26	2014	6	177	17.3	26.0	4.5	17.54	0.0
27	2014	6	178	14.5	28.8	5.6	28.35	0.0
28	2014	6	179	17.7	32.3	6.3	24.95	5.5
29	2014	6	180	14.6	21.8	5.0	23.75	2.5
30	2014	6	181	12.4	24.8	5.1	28.21	0.0
1	2014	7	182	13.9	26.3	4.2	17.25	5.5
2	2014	7	183	16.8	24.9	2.9	12.85	1.0
3	2014	7	184	13.8	24.6	2.5	11.1	4.5
4	2014	7	185	16.6	24.2	3.8	16.74	3.0
5	2014	7	186	13.9	28.9	5.0	25.02	0.0
6	2014	7	187	18.6	27.9	4.9	17.6	18.0
7	2014	7	188	13.9	19.8	2.3	9.22	3.5
8	2014	7	189	13.8	22.6	4.1	18.01	0.5
9	2014	7	190	14.5	22.0	4.9	19.79	1.0
10	2014	7	191	15.1	22.4	4.9	18.03	0.0
11	2014	7	192	16.0	23.7	4.0	13.61	0.5
12	2014	7	193	15.1	22.6	4.1	18.96	1.5
13	2014	7	194	14.6	25.0	4.5	21.94	4.5
14	2014	7	195	16.7	25.6	4.8	21.47	0.5
15	2014	7	196	12.9	28.4	5.5	29.45	0.0
16	2014	7	197	14.1	33.1	5.9	29.44	0.0
17	2014	7	198	15.2	33.5	6.9	28.57	0.0
18	2014	7	199	17.8	30.7	6.5	25.02	0.0
19	2014	7	200	21.1	26.8	4.5	14.79	0.0
20	2014	7	201	18.6	24.2	4.3	16.9	6.5
21	2014	7	202	17.2	25.3	4.8	19.19	0.0
22	2014	7	203	15.2	26.3	5.3	25.57	0.0
23	2014	7	204	15.7	29.7	5.3	25.63	0.0
24	2014	7	205	18.2	30.4	5.3	23.75	9.0
25	2014	7	206	19.0	22.3	2.0	7.51	1.5
26	2014	7	207	14.3	27.9	4.4	21.88	0.0
27	2014	7	208	18.7	28.1	5.7	25.91	0.0
28	2014	7	209	17.1	25.6	3.5	13.06	7.0
29	2014	7	210	14.6	22.8	4.0	16.28	0.5
30	2014	7	211	16.5	25.7	4.3	18.59	0.0
31	2014	7	212	14.1	27.9	5.1	26.54	0.0
1	2014	8	213	14.4	28.5	3.9	18.84	10.0
2	2014	8	214	17.9	26.7	4.0	18.6	0.5
3	2014	8	215	15.1	28.4	4.6	23.42	3.0
4	2014	8	216	17.7	23.9	3.0	13.71	5.0
5	2014	8	217	17.5	26.4	5.3	26.15	0.0
6	2014	8	218	13.1	27.3	4.3	21.9	0.0
7	2014	8	219	17.4	28.4	3.7	16.61	0.0
8	2014	8	220	16.9	31.7	5.1	22.01	13.5
9	2014	8	221	17.1	26.9	4.0	17.81	0.0
10	2014	8	222	19.7	30.7	5.3	21.87	4.0
11	2014	8	223	18.2	23.0	3.7	14.85	0.0
12	2014	8	224	15.5	24.9	3.8	19.27	5.5
13	2014	8	225	16.2	22.6	4.5	20.09	0.5
14	2014	8	226	14.6	24.3	4.3	18.92	0.0
15	2014	8	227	14.2	21.7	3.2	14.45	2.0
16	2014	8	228	13.1	23.3	4.0	19.86	0.0
17	2014	8	229	9.9	26.2	4.3	26.11	0.0
18	2014	8	230	10.8	26.7	3.9	21.68	1.5
19	2014	8	231	16.8	22.2	2.9	10.4	0.0
20	2014	8	232	11.9	21.4	3.0	14.49	0.0
21	2014	8	233	12.3	24.2	4.0	21.93	0.0
22	2014	8	234	12.0	21.7	2.0	9.27	3.0
23	2014	8	235	14.7	23.4	4.1	20.13	0.0
24	2014	8	236	12.9	24.7	4.1	23.38	0.0
25	2014	8	237	14.4	30.0	4.5	21.75	0.0
26	2014	8	238	16.5	25.8	3.8	18.64	12.5
27	2014	8	239	18.4	26.5	3.5	15.71	1.0
28	2014	8	240	14.2	30.5	4.3	22.96	0.0
29	2014	8	241	17.9	23.1	2.3	8.52	0.5
30	2014	8	242	18.4	26.0	3.5	15.25	0.0
31	2014	8	243	15.6	26.6	4.7	23.21	0.0
1	2014	9	244	14.4	26.2	4.5	23.56	0.0
2	2014	9	245	11.4	26.7	4.1	23.47	0.0
3	2014	9	246	9.9	28.6	4.0	23.44	0.0
4	2014	9	247	12.7	27.0	3.1	15.83	2.0
5	2014	9	248	17.6	27.0	3.8	19.25	0.0
6	2014	9	249	13.2	29.0	3.5	18.81	2.0
7	2014	9	250	15.4	32.1	4.6	20.74	1.0
8	2014	9	251	18.7	25.9	2.9	12.76	0.0
9	2014	9	252	14.6	29.2	3.5	18.55	0.0
10	2014	9	253	14.6	30.4	3.9	21.1	0.0
11	2014	9	254	13.7	29.7	4.2	21.16	0.0
12	2014	9	255	14.4	27.5	4.1	21.21	0.5
13	2014	9	256	9.3	27.6	3.5	21.58	0.0
14	2014	9	257	10.1	28.2	2.9	15.02	0.0
15	2014	9	258	14.9	27.2	3.0	14.49	0.0
